symbol,month,average_price,highest_price,lowest_price,price_range
ADAUSDT,2018-04,0.3,0.36,0.25,0.10999999999999999
ADAUSDT,2018-05,0.27,0.37,0.18,0.19
ADAUSDT,2018-06,0.17,0.23,0.12,0.11000000000000001
ADAUSDT,2018-07,0.15,0.2,0.13,0.07
ADAUSDT,2018-08,0.11,0.14,0.09,0.05000000000000002
ADAUSDT,2018-09,0.08,0.11,0.06,0.05
ADAUSDT,2018-10,0.08,0.09,0.07,0.01999999999999999
ADAUSDT,2018-11,0.06,0.08,0.04,0.04
ADAUSDT,2018-12,0.04,0.05,0.03,0.020000000000000004
ADAUSDT,2019-01,0.04,0.05,0.04,0.010000000000000002
ADAUSDT,2019-02,0.04,0.05,0.04,0.010000000000000002
ADAUSDT,2019-03,0.05,0.07,0.04,0.030000000000000006
ADAUSDT,2019-04,0.08,0.1,0.07,0.03
ADAUSDT,2019-05,0.08,0.09,0.06,0.03
ADAUSDT,2019-06,0.09,0.1,0.08,0.020000000000000004
ADAUSDT,2019-07,0.07,0.08,0.05,0.03
ADAUSDT,2019-08,0.05,0.06,0.04,0.019999999999999997
ADAUSDT,2019-09,0.05,0.05,0.04,0.010000000000000002
ADAUSDT,2019-10,0.04,0.04,0.04,0.0
ADAUSDT,2019-11,0.04,0.05,0.04,0.010000000000000002
ADAUSDT,2019-12,0.04,0.04,0.03,0.010000000000000002
ADAUSDT,2020-01,0.04,0.06,0.03,0.03
ADAUSDT,2020-02,0.06,0.07,0.05,0.020000000000000004
ADAUSDT,2020-03,0.03,0.05,0.02,0.030000000000000002
ADAUSDT,2020-04,0.04,0.05,0.03,0.020000000000000004
ADAUSDT,2020-05,0.05,0.08,0.05,0.03
ADAUSDT,2020-06,0.08,0.09,0.07,0.01999999999999999
ADAUSDT,2020-07,0.12,0.14,0.09,0.05000000000000002
ADAUSDT,2020-08,0.13,0.15,0.1,0.04999999999999999
ADAUSDT,2020-09,0.1,0.12,0.08,0.039999999999999994
ADAUSDT,2020-10,0.1,0.11,0.09,0.020000000000000004
ADAUSDT,2020-11,0.12,0.17,0.09,0.08000000000000002
ADAUSDT,2020-12,0.16,0.18,0.14,0.03999999999999998
ADAUSDT,2021-01,0.31,0.38,0.18,0.2
ADAUSDT,2021-02,0.85,1.42,0.36,1.06
ADAUSDT,2021-03,1.17,1.29,1.03,0.26
ADAUSDT,2021-04,1.26,1.47,1.1,0.3699999999999999
ADAUSDT,2021-05,1.66,2.3,1.15,1.15
ADAUSDT,2021-06,1.48,1.84,1.21,0.6300000000000001
ADAUSDT,2021-07,1.28,1.45,1.06,0.3899999999999999
ADAUSDT,2021-08,2.1,2.92,1.33,1.5899999999999999
ADAUSDT,2021-09,2.44,2.98,2.04,0.94
ADAUSDT,2021-10,2.16,2.3,1.95,0.34999999999999987
ADAUSDT,2021-11,1.89,2.28,1.47,0.8099999999999998
